go run -ldflags "-X main.GitCommit=d526003d6ed94180d6b574c34b9e453b7d2d645c" tools/system_info/main.go
--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2024-01-20
Commit: d526003d6ed94180d6b574c34b9e453b7d2d645c

Go version: go1.21.6

CPU:
- arch: amd64
- physical cores: 16
- logical cores: 16

CPU features:
- AVX: true
- AVX2: true
- AVX512: true
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: AMD EPYC 9R14
BenchmarkHashing/64B-sha256-16         	11450863	       104.7 ns/op	 611.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-zeebo_blake3_256-16         	15759379	        76.39 ns/op	 837.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-lukechampine_blake3_256-16  	11263363	       105.7 ns/op	 605.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2b_256-16              	 7668886	       156.7 ns/op	 408.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2s_256-16              	 9752530	       122.6 ns/op	 521.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha3-16                     	 2029567	       587.4 ns/op	 108.96 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/64B-sha1-16                     	 6042807	       199.0 ns/op	 321.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha2_512-16                 	 6090800	       197.2 ns/op	 324.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-zeebo_blake3_512-16         	15752826	        76.24 ns/op	 839.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-lukechampine_blake3_512-16  	11652211	       103.4 ns/op	 618.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2b_512-16              	 8044242	       149.2 ns/op	 428.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha3_512-16                 	 2149584	       558.1 ns/op	 114.67 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/1KiB-sha256-16                  	 1903405	       629.8 ns/op	1625.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-zeebo_blake3_256-16        	 1000000	      1123 ns/op	 911.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-lukechampine_blake3_256-16 	  694107	      1716 ns/op	 596.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-blake2b_256-16             	 1000000	      1094 ns/op	 935.82 MB/s	       0 B/op	       0 allocs/op
