go run -ldflags "-X main.GitCommit=3ed0f8babee4197676b9947836e501a41aaaf727" tools/system_info/main.go
--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2024-01-20
Commit: 3ed0f8babee4197676b9947836e501a41aaaf727

Go version: go1.21.6

CPU:
- arch: arm64
- physical cores: 16
- logical cores: 16

CPU features:
- SVE: true
- AES: true
- SHA1: true
- SHA2: true
- SHA512: true
- SHA3: true
- CRC32: true
- ATOMICS: true

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/hashing
BenchmarkHashing/64B-sha256-16         	10288705	       116.6 ns/op	 548.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-zeebo_blake3_256-16         	 7831292	       153.2 ns/op	 417.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-lukechampine_blake3_256-16  	 6765643	       177.4 ns/op	 360.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2b_256-16              	 4927087	       243.6 ns/op	 262.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2s_256-16              	 5889735	       203.6 ns/op	 314.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha3-16                     	 1566538	       769.8 ns/op	  83.13 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/64B-sha1-16                     	 9958638	       120.6 ns/op	 530.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha2_512-16                 	 7041128	       170.3 ns/op	 375.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-zeebo_blake3_512-16         	 8107202	       148.0 ns/op	 432.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-lukechampine_blake3_512-16  	 7053096	       170.2 ns/op	 376.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2b_512-16              	 4914464	       244.4 ns/op	 261.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha3_512-16                 	 1709734	       697.8 ns/op	  91.71 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/1KiB-sha256-16                  	 1701686	       705.1 ns/op	1452.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-zeebo_blake3_256-16        	  583285	      2056 ns/op	 498.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-lukechampine_blake3_256-16 	  484816	      2462 ns/op	 415.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-blake2b_256-16             	  678162	      1770 ns/op	 578.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-blake2s_256-16             	  405669	      2956 ns/op	 346.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-sha3-16                    	  352350	      3333 ns/op	 307.26 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/1KiB-sha1-16                    	 1636374	       733.4 ns/op	1396.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-sha2_512-16                	 1000000	      1171 ns/op	 874.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-zeebo_blake3_512-16        	  584653	      2050 ns/op	 499.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-lukechampine_blake3_512-16 	  491016	      2441 ns/op	 419.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-blake2b_512-16             	  676879	      1771 ns/op	 578.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-sha3_512-16                	  204681	      5780 ns/op	 177.17 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/16KiB-sha256-16                 	  118401	     10135 ns/op	1616.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-zeebo_blake3_256-16       	   33351	     36150 ns/op	 453.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-lukechampine_blake3_256-16         	   28610	     41965 ns/op	 390.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-blake2b_256-16                     	   43053	     27877 ns/op	 587.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-blake2s_256-16                     	   25616	     46845 ns/op	 349.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-sha3-16                            	   26554	     45113 ns/op	 363.18 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/16KiB-sha1-16                            	  113892	     10532 ns/op	1555.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-sha2_512-16                        	   74084	     16196 ns/op	1011.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-zeebo_blake3_512-16                	   33211	     36115 ns/op	 453.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-lukechampine_blake3_512-16         	   28478	     42156 ns/op	 388.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-blake2b_512-16                     	   43261	     27873 ns/op	 587.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-sha3_512-16                        	   14542	     82459 ns/op	 198.69 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/64KiB-sha256-16                          	   29767	     40311 ns/op	1625.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-zeebo_blake3_256-16                	    8448	    141828 ns/op	 462.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-lukechampine_blake3_256-16         	    7150	    167720 ns/op	 390.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-blake2b_256-16                     	   10000	    111409 ns/op	 588.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-blake2s_256-16                     	    6400	    187314 ns/op	 349.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-sha3-16                            	    6712	    178622 ns/op	 366.90 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/64KiB-sha1-16                            	   28646	     41892 ns/op	1564.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-sha2_512-16                        	   18663	     64312 ns/op	1019.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-zeebo_blake3_512-16                	    8432	    142135 ns/op	 461.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-lukechampine_blake3_512-16         	    7111	    168460 ns/op	 389.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-blake2b_512-16                     	   10000	    111318 ns/op	 588.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-sha3_512-16                        	    3651	    328513 ns/op	 199.49 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/1MiB-sha256-16                           	    1861	    644471 ns/op	1627.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-zeebo_blake3_256-16                 	     530	   2259343 ns/op	 464.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-lukechampine_blake3_256-16          	     444	   2697335 ns/op	 388.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2b_256-16                      	     674	   1778089 ns/op	 589.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2s_256-16                      	     399	   3000188 ns/op	 349.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha3-16                             	     420	   2851898 ns/op	 367.68 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/1MiB-sha1-16                             	    1790	    669685 ns/op	1565.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha2_512-16                         	    1159	   1033169 ns/op	1014.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-zeebo_blake3_512-16                 	     529	   2263887 ns/op	 463.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-lukechampine_blake3_512-16          	     441	   2707257 ns/op	 387.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-blake2b_512-16                      	     674	   1777494 ns/op	 589.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1MiB-sha3_512-16                         	     228	   5244594 ns/op	 199.93 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/10MiB-sha256-16                          	     186	   6438839 ns/op	1628.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-zeebo_blake3_256-16                	      51	  22572172 ns/op	 464.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-lukechampine_blake3_256-16         	      43	  27144418 ns/op	 386.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2b_256-16                     	      67	  17766598 ns/op	 590.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2s_256-16                     	      39	  30002746 ns/op	 349.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha3-16                            	      42	  28495916 ns/op	 367.97 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/10MiB-sha1-16                            	     178	   6691696 ns/op	1566.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha2_512-16                        	     100	  10308240 ns/op	1017.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-zeebo_blake3_512-16                	      52	  22611982 ns/op	 463.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-lukechampine_blake3_512-16         	      43	  27267744 ns/op	 384.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-blake2b_512-16                     	      67	  17757214 ns/op	 590.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/10MiB-sha3_512-16                        	      22	  52421704 ns/op	 200.03 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/100MiB-sha256-16                         	      18	  64389664 ns/op	1628.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-zeebo_blake3_256-16               	       5	 225772274 ns/op	 464.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/100MiB-lukechampine_blake3_256-16        	       4	 271554432 ns/op	 386.14 MB/s	       0 B/op	       0 allocs/op
