go run -ldflags "-X main.GitCommit=d526003d6ed94180d6b574c34b9e453b7d2d645c" tools/system_info/main.go
--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2024-01-20
Commit: d526003d6ed94180d6b574c34b9e453b7d2d645c

Go version: go1.21.6

CPU:
- arch: amd64
- physical cores: 8
- logical cores: 16

CPU features:
- AVX: true
- AVX2: true
- AVX512: true
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: Intel(R) Xeon(R) Platinum 8488C
BenchmarkHashing/64B-sha256-16         	10240842	       116.7 ns/op	 548.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-zeebo_blake3_256-16         	18120894	        65.48 ns/op	 977.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-lukechampine_blake3_256-16  	10563992	       110.3 ns/op	 580.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2b_256-16              	 7310200	       163.9 ns/op	 390.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2s_256-16              	 9938576	       122.0 ns/op	 524.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha3-16                     	 2007165	       596.1 ns/op	 107.37 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/64B-sha1-16                     	 6637238	       179.6 ns/op	 356.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha2_512-16                 	 4975909	       240.5 ns/op	 266.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-zeebo_blake3_512-16         	17846538	        66.53 ns/op	 961.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-lukechampine_blake3_512-16  	10786696	       110.7 ns/op	 577.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2b_512-16              	 7690671	       155.7 ns/op	 411.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha3_512-16                 	 2196087	       556.4 ns/op	 115.03 MB/s	     960 B/op	       3 allocs/op
BenchmarkHashing/1KiB-sha256-16                  	 1697868	       704.6 ns/op	1453.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-zeebo_blake3_256-16        	 1000000	      1077 ns/op	 950.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-lukechampine_blake3_256-16 	  672390	      1825 ns/op	 561.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-blake2b_256-16             	 1000000	      1165 ns/op	 879.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-blake2s_256-16             	  719988	      1641 ns/op	 624.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-sha3-16                    	  392311	      2835 ns/op	 361.15 MB/s	     928 B/op	       3 allocs/op
BenchmarkHashing/1KiB-sha1-16                    	  988680	      1209 ns/op	 846.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-sha2_512-16                	  630880	      1848 ns/op	 554.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-zeebo_blake3_512-16        	 1000000	      1093 ns/op	 936.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-lukechampine_blake3_512-16 	  671146	      1764 ns/op	 580.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-blake2b_512-16             	 1000000	      1153 ns/op	 888.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-sha3_512-16                	  222080	      5184 ns/op	 197.53 MB/s	     960 B/op	       3 allocs/op
