--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2026-04-07
Commit: f914b06aa67d742b65ba9cda6601f55c4a644d72

Go version: go1.26.0

CPU:
- arch: amd64
- physical cores: 8
- logical cores: 16

CPU features:
- AVX: true
- AVX2: true
- AVX512: false
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- SHA-3: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
go: downloading github.com/zeebo/blake3 v0.2.4
go: downloading golang.org/x/crypto v0.49.0
go: downloading lukechampine.com/blake3 v1.2.1
go: downloading github.com/klauspost/cpuid/v2 v2.3.0
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: AMD EPYC 7763 64-Core Processor
BenchmarkHashing/64B-SHA-256-4         	 9245281	       129.6 ns/op	 493.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-SHA-512-4         	 4632987	       260.3 ns/op	 245.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-SHA3-256-4        	 2746843	       437.0 ns/op	 146.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-SHA3-512-4        	 2646849	       447.8 ns/op	 142.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-SHAKE128-256-4    	 2847464	       421.9 ns/op	 151.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-SHAKE256-512-4    	 2766316	       433.7 ns/op	 147.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-BLAKE3_zeebo-4    	14716581	        81.37 ns/op	 786.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-BLAKE3_lukechampine-4         	10346242	       116.5 ns/op	 549.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-BLAKE2b-256-4                 	 6558175	       182.9 ns/op	 349.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-BLAKE2s-256-4                 	 8994891	       133.0 ns/op	 481.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-BLAKE2b-512-4                 	 6868424	       174.7 ns/op	 366.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-SHA1-4                        	 9700114	       124.9 ns/op	 512.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-SHA-256-4                    	 1639234	       732.0 ns/op	1398.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-SHA-512-4                    	  682630	      1750 ns/op	 585.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-SHA3-256-4                   	  369568	      3200 ns/op	 319.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-SHA3-512-4                   	  193135	      6043 ns/op	 169.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-SHAKE128-256-4               	  428566	      2802 ns/op	 365.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-SHAKE256-512-4               	  375884	      3196 ns/op	 320.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-BLAKE3_zeebo-4               	  986564	      1213 ns/op	 843.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-BLAKE3_lukechampine-4        	  613564	      1961 ns/op	 522.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-BLAKE2b-256-4                	  926989	      1291 ns/op	 792.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-BLAKE2s-256-4                	  694934	      1724 ns/op	 594.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-BLAKE2b-512-4                	  929637	      1284 ns/op	 797.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-SHA1-4                       	 1740302	       689.4 ns/op	1485.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-SHA-256-4                   	  115668	     10382 ns/op	1578.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-SHA-512-4                   	   48916	     24330 ns/op	 673.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-SHA3-256-4                  	   25164	     47671 ns/op	 343.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-SHA3-512-4                  	   13435	     89303 ns/op	 183.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-SHAKE128-256-4              	   31126	     38668 ns/op	 423.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-SHAKE256-512-4              	   25192	     47898 ns/op	 342.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-BLAKE3_zeebo-4              	  237902	      5079 ns/op	3225.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-BLAKE3_lukechampine-4       	  162607	      7368 ns/op	2223.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-BLAKE2b-256-4               	   59439	     20171 ns/op	 812.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-BLAKE2s-256-4               	   44398	     27013 ns/op	 606.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-BLAKE2b-512-4               	   59433	     20163 ns/op	 812.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-SHA1-4                      	  123226	      9737 ns/op	1682.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-SHA-256-4                   	   29080	     41279 ns/op	1587.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-SHA-512-4                   	   12402	     96612 ns/op	 678.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-SHA3-256-4                  	    6307	    189365 ns/op	 346.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-SHA3-512-4                  	    3356	    357863 ns/op	 183.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-SHAKE128-256-4              	    7731	    154319 ns/op	 424.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-SHAKE256-512-4              	    6262	    189714 ns/op	 345.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64KiB-BLAKE3_zeebo-4              	   67297	     17839 ns/op	3673.83 MB/s	       0 B/op	       0 allocs/op
