--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2026-04-07
Commit: f914b06aa67d742b65ba9cda6601f55c4a644d72

Go version: go1.26.0

CPU:
- arch: arm64
- physical cores: 4
- logical cores: 4

CPU features:
- SVE: true
- AES: true
- SHA1: true
- SHA2: true
- SHA512: true
- SHA3: true
- CRC32: true
- ATOMICS: true

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
go: downloading github.com/zeebo/blake3 v0.2.4
go: downloading golang.org/x/crypto v0.49.0
go: downloading lukechampine.com/blake3 v1.2.1
go: downloading github.com/klauspost/cpuid/v2 v2.3.0
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/hashing
BenchmarkHashing/64B-SHA-256-4         	12378500	        96.90 ns/op	 660.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-SHA-512-4         	 8385710	       142.9 ns/op	 447.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-SHA3-256-4        	 3691956	       325.0 ns/op	 196.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-SHA3-512-4        	 3661082	       327.7 ns/op	 195.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-SHAKE128-256-4    	 3801280	       315.7 ns/op	 202.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-SHAKE256-512-4    	 3793407	       316.3 ns/op	 202.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-BLAKE3_zeebo-4    	10751623	       111.6 ns/op	 573.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-BLAKE3_lukechampine-4         	 9925666	       120.6 ns/op	 530.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-BLAKE2b-256-4                 	 6439802	       186.4 ns/op	 343.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-BLAKE2s-256-4                 	 7532848	       159.1 ns/op	 402.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-BLAKE2b-512-4                 	 6529327	       183.8 ns/op	 348.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-SHA1-4                        	12607959	        95.22 ns/op	 672.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-SHA-256-4                    	 2192305	       547.2 ns/op	1871.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-SHA-512-4                    	 1311784	       916.3 ns/op	1117.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-SHA3-256-4                   	  493857	      2398 ns/op	 426.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-SHA3-512-4                   	  269497	      4444 ns/op	 230.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-SHAKE128-256-4               	  570951	      2100 ns/op	 487.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-SHAKE256-512-4               	  502184	      2388 ns/op	 428.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-BLAKE3_zeebo-4               	  780400	      1539 ns/op	 665.19 MB/s	       0 B/op	       0 allocs/op
