--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2023-08-09

Go version: go1.21.0

CPU:
- arch: arm64
- physical cores: 8
- logical cores: 8

CPU features:
- SVE: false
- AES: true
- SHA1: true
- SHA2: true
- SHA512: false
- SHA3: false
- CRC32: true
- ATOMICS: true

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/hashing
BenchmarkHashing/64B-sha1-8         	10050957	       119.4 ns/op	 536.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha256-8       	 9945639	       122.1 ns/op	 524.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha256_simd-8  	 8255131	       134.6 ns/op	 475.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2b_256-8  	 4199458	       292.4 ns/op	 218.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2s_256-8  	 4797930	       244.7 ns/op	 261.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha3-8         	 1000000	      1080 ns/op	  59.26 MB/s	     960 B/op	       4 allocs/op
BenchmarkHashing/64B-lukechampine_blake3_256-8         	 5837306	       204.6 ns/op	 312.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-zeebo_blake3_256-8                	 6909800	       170.7 ns/op	 374.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha2_512-8                        	 2144163	       565.3 ns/op	 113.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2b_512-8                     	 4266398	       299.9 ns/op	 213.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha3_512-8                        	 1000000	      1040 ns/op	  61.52 MB/s	    1024 B/op	       4 allocs/op
BenchmarkHashing/64B-lukechampine_blake3_512-8         	 5973897	       201.9 ns/op	 316.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-zeebo_blake3_512-8                	 7144737	       168.5 ns/op	 379.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-sha1-8                           	 1831108	       668.5 ns/op	1531.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-sha256-8                         	 1793667	       636.5 ns/op	1608.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-sha256_simd-8                    	 1849938	       652.3 ns/op	1569.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-blake2b_256-8                    	  588193	      2041 ns/op	 501.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-blake2s_256-8                    	  336240	      3461 ns/op	 295.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-sha3-8                           	  267996	      4516 ns/op	 226.73 MB/s	     960 B/op	       4 allocs/op
BenchmarkHashing/1KiB-lukechampine_blake3_256-8        	  420222	      2856 ns/op	 358.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-zeebo_blake3_256-8               	  497000	      2335 ns/op	 438.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-sha2_512-8                       	  244070	      4826 ns/op	 212.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-blake2b_512-8                    	  566839	      2033 ns/op	 503.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-sha3_512-8                       	  152317	      7774 ns/op	 131.73 MB/s	    1024 B/op	       4 allocs/op
BenchmarkHashing/1KiB-lukechampine_blake3_512-8        	  415363	      2899 ns/op	 353.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1KiB-zeebo_blake3_512-8               	  509512	      2357 ns/op	 434.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-sha1-8                          	  127575	      9590 ns/op	1708.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-sha256-8                        	  136042	      8891 ns/op	1842.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-sha256_simd-8                   	  127632	      8891 ns/op	1842.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-blake2b_256-8                   	   36562	     31663 ns/op	 517.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-blake2s_256-8                   	   21901	     54743 ns/op	 299.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-sha3-8                          	   20450	     60132 ns/op	 272.47 MB/s	     960 B/op	       4 allocs/op
BenchmarkHashing/16KiB-lukechampine_blake3_256-8       	   24496	     48877 ns/op	 335.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-zeebo_blake3_256-8              	   29566	     40601 ns/op	 403.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/16KiB-sha2_512-8                      	   18884	     63631 ns/op	 257.49 MB/s	       0 B/op	       0 allocs/op
