--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2023-08-09

Go version: go1.21.0

CPU:
- arch: amd64
- physical cores: 8
- logical cores: 8

CPU features:
- AVX: true
- AVX2: true
- AVX512: false
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkHashing/64B-sha1-8         	 5408689	       228.1 ns/op	 280.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha256-8       	10834582	       109.9 ns/op	 582.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha256_simd-8  	11466712	       103.3 ns/op	 619.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2b_256-8  	 6184957	       165.5 ns/op	 386.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2s_256-8  	10249576	       120.3 ns/op	 532.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha3-8         	  545287	      2113 ns/op	  30.29 MB/s	     960 B/op	       4 allocs/op
BenchmarkHashing/64B-lukechampine_blake3_256-8         	 9854263	       120.8 ns/op	 529.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-zeebo_blake3_256-8                	15120422	        78.56 ns/op	 814.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha2_512-8                        	 5692840	       213.0 ns/op	 300.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-blake2b_512-8                     	 7782012	       153.1 ns/op	 418.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-sha3_512-8                        	  648276	      1696 ns/op	  37.74 MB/s	    1024 B/op	       4 allocs/op
BenchmarkHashing/64B-lukechampine_blake3_512-8         	 9879004	       120.7 ns/op	 530.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/64B-zeebo_blake3_512-8                	15738738	        78.41 ns/op	 816.23 MB/s	       0 B/op	       0 allocs/op
